-66674.2,-109.3,2.85,18,21,25,17,20,20,25,25,32,24,20,20,28,27,27,29,29,31
-66905.1,-144.9,6.24,5,10,8,10,10,10,10,11,11,15,15,13,7,,,,,
-66911.3,80.2,3.62,17,15,10,10,10,12,17,17,17,13,15,10,10,15,10,10,,
-66710.4,45.4,3.99,7,7,10,15,17,15,15,13,7,14,,,,,,,,
-66878.5,-125.2,4.65,15,8,8,10,13,20,20,15,15,15,15,10,8,,,,,
-66841.8,-8.4,1.03,5,5,7,5,5,10,7,5,,,,,,,,,,
-66682.7,81.7,0.02,10,12,20,12,13,15,20,20,20,20,21,25,24,,,,,
-66931.6,-42.5,6.07,14,11,15,20,27,28,40,30,30,29,28,21,29,28,,,,
-66859.4,-141.1,3.32,15,10,11,13,17,20,14,10,7,10,10,10,10,7,,,,
-66673.5,-36.8,1.9,8,10,10,12,10,10,10,10,10,7,8,7,,,,,,
