16.547574,0.82919756,129.884,0,1519632000
16.43277,0.7241192,141.834,3,1521010800
16.553106,0.5970348,170.38,3,1522220400
16.58319,0.5652637,186.496,43,1523430000
16.83624333,0.485183033,208.015,43,1524639600
16.96277,0.4451427,201.784,60,1525849200
17.50512067,0.658654507,199.496,60,1527058800
18.12495,0.902668,196.618,56,1527922800
18.62773,1.0668282,201.79,56,1529305200
20.63885,1.723469,219.896,47,1530514800
20.79925533,1.798964267,183.449,47,1531810800
23.04493,2.855898,201.848,30,1533106800
23.04493,2.855898,215.615,30,1534230000
