-66674.2,-109.3,2.85,8.5,8,8,7,5,6,6,8,7,9,5,,,,,,,,,,,
-66905.1,-144.9,6.24,8,12,13,12,12,15,11,10,10,17,17,14,14,16,20,21,18,17,11,11,11,10
-66911.3,80.2,3.62,13,17,14,17,10,11,9,7,,,,,,,,,,,,,,
-66710.4,45.4,3.99,9,7,6,6,4,4,,,,,,,,,,,,,,,,
-66878.5,-125.2,4.65,15,20,19,17,19,20,21,19,16,14,10,16,20,18,16,9,13,20,,,,
-66841.8,-8.4,1.03,15,14,10,10,7,8,9,8,9,11,9,8,7,9,5,8,8,,,,,
-66682.7,81.7,0.02,20,22,12,15,19,21,11,15,12,,,,,,,,,,,,,
-66931.6,-42.5,6.07,8,8,9,7,5,4,5,7,10,8,7,,,,,,,,,,,
-66859.4,-141.1,3.32,6,7,6,3,5,6,8,6,4,4,7,,,,,,,,,,,
-66673.5,-36.8,1.9,18,18,15,17,17,13,10,12,14,17,20,18,11,9,9,11,7,6,5,7,6,
