date_stamp,rhizome_number,Numbrer_of_internodes_in_rhizome,length_of_internode,SST,SSTA,irradiance,exposition_hours,date
730331,9,19,17,23,-0.021935908,111.007,51,1999-07-30
730331,10,13,21,23,-0.021935908,111.007,51,1999-07-30
730331,10,13,17,23,-0.021935908,111.007,51,1999-07-30
730331,10,13,16,23,-0.021935908,111.007,51,1999-07-30
730331,11,17,40,23,-0.021935908,111.007,51,1999-07-30
730331,11,17,30,23,-0.021935908,111.007,51,1999-07-30
730331,12,24,12,23,-0.021935908,111.007,51,1999-07-30
730331,13,12,7,23,-0.021935908,111.007,51,1999-07-30
730331,14,11,7,23,-0.021935908,111.007,51,1999-07-30
730331,15,9,9,23,-0.021935908,111.007,51,1999-07-30
730331,16,16,9,23,-0.021935908,111.007,51,1999-07-30
730331,16,16,8,23,-0.021935908,111.007,51,1999-07-30
730331,18,10,17,23,-0.021935908,111.007,51,1999-07-30
730331,18,10,8,23,-0.021935908,111.007,51,1999-07-30
730331,19,13,15,23,-0.021935908,111.007,51,1999-07-30
730331,19,13,12,23,-0.021935908,111.007,51,1999-07-30
730331,20,13,NaN,23,-0.021935908,111.007,51,1999-07-30
730331,20,13,NaN,23,-0.021935908,111.007,51,1999-07-30
730331,20,13,NaN,23,-0.021935908,111.007,51,1999-07-30
730345,1,20,19,21,-0.963796496,109.114,35,1999-08-13
730345,1,20,10,21,-0.963796496,109.114,35,1999-08-13
730345,2,12,21,21,-0.963796496,109.114,35,1999-08-13
730345,2,12,20,21,-0.963796496,109.114,35,1999-08-13
730345,3,11,15,21,-0.963796496,109.114,35,1999-08-13
730345,4,19,19,21,-0.963796496,109.114,35,1999-08-13
730345,6,21,10,21,-0.963796496,109.114,35,1999-08-13
730345,6,21,7,21,-0.963796496,109.114,35,1999-08-13
730345,8,27,8,21,-0.963796496,109.114,35,1999-08-13
730345,9,23,13,21,-0.963796496,109.114,35,1999-08-13
730345,9,23,15,21,-0.963796496,109.114,35,1999-08-13
730345,10,24,16,21,-0.963796496,109.114,35,1999-08-13
730345,10,24,15,21,-0.963796496,109.114,35,1999-08-13
730345,10,24,17,21,-0.963796496,109.114,35,1999-08-13
730345,11,27,17,21,-0.963796496,109.114,35,1999-08-13
730345,11,27,13,21,-0.963796496,109.114,35,1999-08-13
730345,12,16,22,21,-0.963796496,109.114,35,1999-08-13
730345,12,16,19,21,-0.963796496,109.114,35,1999-08-13
730345,12,16,20,21,-0.963796496,109.114,35,1999-08-13
730345,13,20,15,21,-0.963796496,109.114,35,1999-08-13
730345,13,20,13,21,-0.963796496,109.114,35,1999-08-13
730345,14,18,16,21,-0.963796496,109.114,35,1999-08-13
730345,15,18,17,21,-0.963796496,109.114,35,1999-08-13
730345,15,18,15,21,-0.963796496,109.114,35,1999-08-13
730345,16,21,12,21,-0.963796496,109.114,35,1999-08-13
730345,16,21,10,21,-0.963796496,109.114,35,1999-08-13
730345,18,14,24,21,-0.963796496,109.114,35,1999-08-13
730345,18,14,25,21,-0.963796496,109.114,35,1999-08-13
730345,19,17,28,21,-0.963796496,109.114,35,1999-08-13
730345,19,17,21,21,-0.963796496,109.114,35,1999-08-13
730345,20,20,15,21,-0.963796496,109.114,35,1999-08-13
730359,2,21,10,22,-1.002231479,100.43,35,1999-08-27
730359,2,21,12,22,-1.002231479,100.43,35,1999-08-27
730359,3,15,11,22,-1.002231479,100.43,35,1999-08-27
730359,4,14,12,22,-1.002231479,100.43,35,1999-08-27
730359,5,20,15,22,-1.002231479,100.43,35,1999-08-27
730359,6,31,20,22,-1.002231479,100.43,35,1999-08-27
730359,6,31,13,22,-1.002231479,100.43,35,1999-08-27
730359,7,11,17,22,-1.002231479,100.43,35,1999-08-27
730359,7,11,19,22,-1.002231479,100.43,35,1999-08-27
730359,7,11,15,22,-1.002231479,100.43,35,1999-08-27
730359,8,16,13,22,-1.002231479,100.43,35,1999-08-27
730359,9,19,17,22,-1.002231479,100.43,35,1999-08-27
