date_stamp,number_of_sampled_rhizome,number_internodes_in_rhizome,new_leaves_number,number_final_branches,number_initial_branches,new_branches_per_branch,date
730446,16,11,4,4,2,1,1999-11-22
730446,17,18,1,5,3,0.666666667,1999-11-22
730446,18,22,2,7,2,2.5,1999-11-22
730446,19,21,3,4,2,1,1999-11-22
730446,20,23,3,8,4,1,1999-11-22
730460,1,28,2,3,2,0.5,1999-12-06
730460,2,27,4,4,2,1,1999-12-06
730460,3,9,1,5,2,1.5,1999-12-06
730460,4,22,4,6,3,1,1999-12-06
730460,5,12,1,5,3,0.666666667,1999-12-06
730460,6,25,4,6,2,2,1999-12-06
730460,7,17,3,7,3,1.333333333,1999-12-06
730460,8,16,2,5,3,0.666666667,1999-12-06
730460,9,25,5,3,3,0,1999-12-06
730460,10,14,2,5,3,0.666666667,1999-12-06
730460,11,9,2,4,4,0,1999-12-06
730460,12,26,2,5,3,0.666666667,1999-12-06
730460,13,21,3,5,5,0,1999-12-06
730460,14,32,1,4,3,0.333333333,1999-12-06
730460,15,14,2,4,4,0,1999-12-06
730460,16,17,2,4,2,1,1999-12-06
730460,17,11,1,5,3,0.666666667,1999-12-06
730460,18,19,2,4,3,0.333333333,1999-12-06
730460,19,11,2,5,4,0.25,1999-12-06
730474,1,25,2,3,2,0.5,1999-12-20
730474,2,22,2,3,3,0,1999-12-20
730474,3,13,1,3,2,0.5,1999-12-20
730474,4,19,1,4,2,1,1999-12-20
730474,5,10,2,4,4,0,1999-12-20
730474,6,12,2,2,2,0,1999-12-20
730474,7,20,3,6,5,0.2,1999-12-20
730474,8,19,2,7,3,1.333333333,1999-12-20
730474,9,26,3,9,3,2,1999-12-20
730474,10,12,3,5,3,0.666666667,1999-12-20
730474,11,19,1,8,5,0.6,1999-12-20
730474,12,9,2,2,3,-0.333333333,1999-12-20
730474,13,21,1,7,3,1.333333333,1999-12-20
730474,14,15,3,3,3,0,1999-12-20
730474,15,15,1,4,3,0.333333333,1999-12-20
730474,16,18,3,3,2,0.5,1999-12-20
730474,17,12,3,5,2,1.5,1999-12-20
730474,19,18,2,5,3,0.666666667,1999-12-20
730474,20,23,1,9,4,1.25,1999-12-20
730489,1,21,1,6,5,0.2,2000-01-04
730489,2,16,2,3,3,0,2000-01-04
730489,3,19,1,7,2,2.5,2000-01-04
730489,4,14,1,3,3,0,2000-01-04
730489,6,13,1,3,4,-0.25,2000-01-04
730489,7,12,1,3,4,-0.25,2000-01-04
730489,8,17,3,3,2,0.5,2000-01-04
730489,9,17,1,7,4,0.75,2000-01-04
730489,10,19,3,5,4,0.25,2000-01-04
730489,11,16,2,4,3,0.333333333,2000-01-04
730489,12,22,1,6,4,0.5,2000-01-04
730489,14,18,3,4,4,0,2000-01-04
730489,15,18,3,4,3,0.333333333,2000-01-04
730489,16,13,2,3,3,0,2000-01-04
730489,17,23,3,5,4,0.25,2000-01-04
730489,18,14,1,5,3,0.666666667,2000-01-04
730489,19,27,1,5,2,1.5,2000-01-04
730489,20,16,1,4,2,1,2000-01-04
730502,1,21,2,7,5,0.4,2000-01-17
730502,2,25,2,9,3,2,2000-01-17
730502,3,12,2,10,2,4,2000-01-17
730502,4,14,2,7,4,0.75,2000-01-17
730502,5,14,2,3,2,0.5,2000-01-17
730502,6,23,2,2,1,1,2000-01-17
730502,7,28,3,6,3,1,2000-01-17
730502,8,23,1,8,3,1.666666667,2000-01-17
730502,9,24,1,8,5,0.6,2000-01-17
730502,10,26,2,4,3,0.333333333,2000-01-17
730502,11,22,2,5,3,0.666666667,2000-01-17
730502,12,24,2,8,2,3,2000-01-17
730502,13,22,2,7,4,0.75,2000-01-17
730502,15,13,2,3,2,0.5,2000-01-17
730502,16,20,1,4,2,1,2000-01-17
730502,18,11,2,3,1,2,2000-01-17
730502,20,25,1,3,3,0,2000-01-17
730517,1,22,2,4,3,0.333333333,2000-02-01
730517,2,23,3,4,4,0,2000-02-01
730517,3,13,3,4,3,0.333333333,2000-02-01
730517,4,22,2,12,3,3,2000-02-01
730517,5,25,2,2,2,0,2000-02-01
730517,7,23,2,4,3,0.333333333,2000-02-01
730517,8,21,3,4,2,1,2000-02-01
730517,9,16,3,4,3,0.333333333,2000-02-01
730517,10,15,1,5,3,0.666666667,2000-02-01
730517,11,16,3,6,3,1,2000-02-01
730517,12,19,2,7,3,1.333333333,2000-02-01
730517,13,5,2,5,3,0.666666667,2000-02-01
730517,14,19,2,2,3,-0.333333333,2000-02-01
730517,15,21,2,3,3,0,2000-02-01
730517,16,17,3,3,2,0.5,2000-02-01
730517,17,16,2,6,3,1,2000-02-01
730517,18,23,1,4,3,0.333333333,2000-02-01
730517,19,31,2,5,3,0.666666667,2000-02-01
730517,20,15,4,5,2,1.5,2000-02-01
730532,1,16,2,5,4,0.25,2000-02-16
730532,2,15,2,8,3,1.666666667,2000-02-16
730532,3,17,3,1,1,0,2000-02-16
730532,4,19,3,2,3,-0.333333333,2000-02-16
730532,5,7,1,5,4,0.25,2000-02-16
730532,8,16,4,6,4,0.5,2000-02-16
730532,9,20,2,3,1,2,2000-02-16
730532,10,16,2,10,5,1,2000-02-16
730532,11,31,4,1,2,-0.5,2000-02-16
730532,12,21,2,1,2,-0.5,2000-02-16
730532,13,6,1,2,2,0,2000-02-16
730532,14,19,1,6,4,0.5,2000-02-16
730532,16,8,2,5,3,0.666666667,2000-02-16
730532,18,30,1,3,4,-0.25,2000-02-16
730532,20,19,3,8,4,1,2000-02-16
730561,1,11,2,6,2,2,2000-03-16
730561,2,7,3,3,3,0,2000-03-16
730561,3,6,3,4,2,1,2000-03-16
730561,4,10,2,5,3,0.666666667,2000-03-16
730561,5,13,1,1,2,-0.5,2000-03-16
730561,6,19,2,5,4,0.25,2000-03-16
730561,7,19,4,6,5,0.2,2000-03-16
730561,8,9,3,4,3,0.333333333,2000-03-16
730561,9,12,2,2,4,-0.5,2000-03-16
730561,10,11,4,3,4,-0.25,2000-03-16
