"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.100","psrf"
"p_branch",0.277777,0.335042,0.408617,0.338030397566667,0.0338775229826103,NA,0.000776233793030503,2.3,1905,0.289017577094294,1.00214866878258
"p_loss",2.27816e-06,0.1284535,0.324026,0.142844294485977,0.0961367443348199,NA,0.00252532175278979,2.6,1449,0.378477007615051,1.00304898903623
