date_stamp,number_of_sampled_rhizome,number_internodes_in_rhizome,new_leaves_number,number_final_branches,number_initial_branches,new_branches_per_branch,SST,SSTA,irradiance,exposition_hours,date
1519632000,1,13,2,NA,NA,NA,16.547574,0.82919756,129.884,0,26/02/2018
1519632000,2,25,3,NA,NA,NA,16.547574,0.82919756,129.884,0,26/02/2018
1519632000,8,11,3,NA,NA,NA,16.547574,0.82919756,129.884,0,26/02/2018
1519632000,9,8,2,NA,NA,NA,16.547574,0.82919756,129.884,0,26/02/2018
1519632000,10,20,2,NA,NA,NA,16.547574,0.82919756,129.884,0,26/02/2018
1519632000,11,20,3,NA,NA,NA,16.547574,0.82919756,129.884,0,26/02/2018
1519632000,13,13,4,NA,NA,NA,16.547574,0.82919756,129.884,0,26/02/2018
1519632000,16,14,3,NA,NA,NA,16.547574,0.82919756,129.884,0,26/02/2018
1519632000,17,14,3,NA,NA,NA,16.547574,0.82919756,129.884,0,26/02/2018
1519632000,18,24,3,NA,NA,NA,16.547574,0.82919756,129.884,0,26/02/2018
1519632000,19,13,3,NA,NA,NA,16.547574,0.82919756,129.884,0,26/02/2018
1519632000,20,11,5,NA,NA,NA,16.547574,0.82919756,129.884,0,26/02/2018
1521010800,2,32,4,NA,NA,NA,16.43277,0.7241192,141.834,3,14/03/2018
1521010800,3,32,3,NA,NA,NA,16.43277,0.7241192,141.834,3,14/03/2018
1521010800,4,15,4,NA,NA,NA,16.43277,0.7241192,141.834,3,14/03/2018
1521010800,5,11,4,NA,NA,NA,16.43277,0.7241192,141.834,3,14/03/2018
1521010800,6,20,3,NA,NA,NA,16.43277,0.7241192,141.834,3,14/03/2018
1521010800,7,20,4,NA,NA,NA,16.43277,0.7241192,141.834,3,14/03/2018
1521010800,8,18,3,NA,NA,NA,16.43277,0.7241192,141.834,3,14/03/2018
1521010800,9,13,3,NA,NA,NA,16.43277,0.7241192,141.834,3,14/03/2018
1521010800,10,9,3,NA,NA,NA,16.43277,0.7241192,141.834,3,14/03/2018
1521010800,11,9,2,NA,NA,NA,16.43277,0.7241192,141.834,3,14/03/2018
1521010800,12,9,2,NA,NA,NA,16.43277,0.7241192,141.834,3,14/03/2018
